iter	Passed	Remaining
399	33845	42306
400	33937	42231
401	34019	42143
402	34104	42060
403	34191	41977
404	34265	41880
405	34340	41783
406	34418	41691
407	34498	41601
408	34589	41523
409	34681	41448
410	34765	41363
411	34846	41274
412	34926	41183
413	35012	41102
414	35091	41010
415	35167	40916
416	35246	40824
417	35334	40744
418	35427	40669
419	35503	40575
420	35608	40514
421	35713	40452
422	35800	40371
423	35887	40288
424	35975	40208
425	36066	40129
426	36164	40060
427	36258	39985
428	36383	39945
429	36493	39888
430	36594	39820
431	36676	39733
432	36797	39687
433	36885	39605
434	36977	39527
435	37068	39449
436	37150	39361
437	37230	39270
438	37309	39179
439	37387	39086
440	37466	38995
441	37542	38901
442	37627	38816
443	37817	38839
444	37898	38750
445	37979	38660
446	38057	38568
447	38131	38472
448	38219	38390
449	38299	38299
450	38380	38210
451	38458	38118
452	38540	38029
453	38639	37958
454	38716	37865
455	38800	37779
456	38891	37699
457	38973	37611
458	39048	37517
459	39128	37427
460	39272	37398
461	39394	37347
462	39513	37294
463	39636	37244
464	39716	37153
465	39797	37064
466	39878	36975
467	39969	36895
468	40055	36809
469	40152	36735
470	40297	36704
471	40492	36717
472	40622	36671
473	40755	36628
474	40850	36550
475	40926	36455
476	41004	36362
477	41086	36272
478	41170	36185
479	41255	36098
480	41359	36028
481	41607	36082
482	41814	36101
483	42016	36113
484	42140	36058
485	42242	35984
486	42339	35906
487	42755	36097
488	42927	36080
489	43106	36068
490	43364	36122
491	43569	36130
492	43733	36104
493	43875	36059
494	44017	36014
495	44209	36009
496	44415	36014
497	44599	36001
498	44902	36084
499	45185	36148
500	45501	36237
501	45682	36218
502	45909	36234
503	46097	36219
504	46338	36244
505	46582	36271
506	46854	36319
507	47251	36461
508	47487	36478
509	48027	36726
510	48546	36955
511	49241	37315
512	49763	37541
513	50166	37673
514	50604	37830
515	51192	38097
516	51708	38306
517	52229	38516
518	52749	38723
519	53459	39066
520	54044	39314
521	54339	39349
522	54517	39298
523	54867	39370
524	55113	39366
525	55456	39431
526	55704	39426
527	56068	39502
528	56360	39527
529	56578	39498
530	56903	39543
531	57190	39560
532	57493	39587
533	57717	39558
534	57863	39476
535	58098	39455
536	58547	39576
537	58941	39659
538	59407	39788
539	59566	39711
540	59966	39792
541	60760	40133
542	61164	40213
543	61495	40243
544	61957	40357
545	62251	40360
546	62419	40281
547	62680	40261
548	62925	40230
549	63124	40169
550	63343	40121
551	63565	40074
552	63791	40028
553	63980	39959
554	64354	40004
555	64700	40030
556	64936	39988
557	65110	39906
558	65338	39857
559	65571	39811
560	65763	39739
561	66068	39735
562	66267	39666
563	66379	39545
564	66729	39565
565	66997	39535
566	67130	39426
567	67263	39315
568	67436	39229
569	67561	39114
570	67787	39057
571	67953	38966
572	68038	38828
573	68140	38700
574	68226	38562
575	68310	38424
576	68396	38287
577	68483	38151
578	68564	38012
579	68645	37873
580	68729	37735
581	68811	37597
582	68886	37456
583	68957	37312
584	69031	37171
585	69102	37027
586	69184	36890
587	69270	36755
588	69346	36615
589	69447	36489
590	69535	36356
591	69615	36219
592	69697	36082
593	69780	35947
594	69859	35810
595	69944	35676
596	70031	35543
597	70110	35406
598	70190	35270
599	70264	35132
600	70336	34992
601	70417	34858
602	70493	34720
603	70564	34581
604	70645	34447
605	70730	34314
606	70811	34180
607	70896	34048
608	70980	33916
609	71065	33785
610	71145	33651
611	71227	33518
612	71317	33390
613	71405	33260
614	71534	33149
615	71639	33028
616	71724	32898
617	71812	32768
618	71889	32634
619	71971	32503
620	72051	32370
621	72133	32239
622	72215	32108
623	72297	31977
624	72371	31843
625	72442	31708
626	72515	31573
627	72591	31440
628	72675	31311
629	72756	31181
630	72835	31050
631	72909	30917
632	72988	30786
633	73069	30657
634	73138	30522
635	73212	30390
636	73281	30256
637	73352	30123
638	73428	29992
639	73504	29861
640	73580	29730
641	73665	29603
642	73749	29476
643	73832	29349
644	73943	29233
645	74058	29118
646	74164	29000
647	74262	28880
648	74353	28756
649	74432	28627
650	74532	28507
651	74647	28393
652	74893	28328
653	75008	28214
654	75125	28100
655	75325	28017
656	75412	27892
657	75497	27766
658	75577	27639
659	75663	27513
660	75749	27388
661	75831	27262
662	75917	27138
663	76002	27013
664	76139	26906
665	76228	26783
666	76314	26658
667	76405	26536
668	76487	26410
669	76570	26285
670	76710	26179
671	76786	26052
672	76859	25924
673	76932	25796
674	77007	25669
675	77091	25545
676	77165	25417
677	77243	25291
678	77319	25165
679	77389	25037
680	77463	24911
681	77540	24785
682	77622	24661
683	77719	24543
684	77801	24419
685	77882	24295
686	77971	24174
687	78050	24050
688	78129	23926
689	78212	23803
690	78293	23680
691	78373	23557
692	78443	23431
693	78517	23306
694	78589	23181
695	78660	23055
696	78733	22931
697	78812	22808
698	78891	22685
699	78973	22563
700	79054	22442
701	79138	22321
702	79214	22198
703	79296	22076
704	79383	21957
705	79463	21835
706	79546	21714
707	79627	21593
708	79712	21474
709	79795	21353
710	79874	21232
711	79948	21110
712	80034	20990
713	80202	20892
714	80310	20779
715	80392	20659
716	80478	20540
717	80557	20419
718	80646	20301
719	80856	20214
720	81196	20158
721	81294	20042
722	81377	19922
723	81463	19803
724	81546	19683
725	81627	19563
726	81711	19444
727	81794	19325
728	81872	19204
729	81963	19087
730	82058	18971
731	82147	18853
732	82309	18752
733	82427	18641
734	82563	18534
735	82662	18419
736	82742	18299
737	82835	18183
738	82938	18069
739	83033	17953
740	83125	17836
741	83339	17746
742	83478	17639
743	83587	17526
744	83672	17408
745	83760	17290
746	83843	17172
747	83928	17054
748	84017	16938
749	84109	16821
750	84190	16703
751	84279	16586
752	84454	16487
753	84588	16379
754	84698	16266
755	84808	16154
