iter	RMSE
125	0.6193137707
126	0.6184507951
127	0.6172992288
128	0.6163993899
129	0.6156632103
130	0.6149177363
131	0.6128388757
132	0.6120014296
133	0.6095717982
134	0.6066229352
135	0.6048930908
136	0.603919876
137	0.602849154
138	0.6017846618
139	0.6001611704
140	0.5992811086
141	0.5981493892
142	0.5966958478
143	0.5960082643
144	0.5952441898
145	0.5944599942
146	0.5933734284
147	0.5918063898
148	0.5910293217
149	0.5902393473
150	0.5890722967
151	0.5873863801
152	0.5865421348
153	0.5857398643
154	0.5850445426
155	0.5843363554
156	0.5836719516
157	0.5828612357
158	0.5814161666
159	0.580723391
160	0.5800270409
161	0.5792215201
162	0.5785299494
163	0.57772933
164	0.5755589302
165	0.5747924317
166	0.5739411711
167	0.5727732941
168	0.5716025079
169	0.5710369856
170	0.5701375095
171	0.5696404955
172	0.5684350856
173	0.5678877493
174	0.5661093694
175	0.5655116521
176	0.5643841849
177	0.5637536622
178	0.5629371746
179	0.5613617329
180	0.5605318636
181	0.5591331379
182	0.5585469097
183	0.557472863
184	0.5569703946
185	0.5563010623
186	0.5557335974
187	0.5545790306
188	0.5536790579
189	0.5529665644
190	0.552278148
191	0.551582632
192	0.5508765084
193	0.5502022155
194	0.5493289364
195	0.5488730388
196	0.5483716645
197	0.5475087987
198	0.5465489966
199	0.5461900322
200	0.5452668108
201	0.5443233282
202	0.5438120072
203	0.5434144679
204	0.5428240757
205	0.542371847
206	0.5401389902
207	0.539559936
208	0.5390173239
209	0.5375134874
210	0.5369169489
211	0.53646448
212	0.5359468347
213	0.5352738294
214	0.5347137879
215	0.5343086772
216	0.5339883759
217	0.5334675949
218	0.5329363505
219	0.5325335471
220	0.5312554
221	0.5306398976
222	0.5298845132
223	0.5291909423
224	0.5283386412
225	0.5276307696
226	0.526894434
227	0.5263091974
228	0.5256569637
229	0.5251711026
230	0.5245200205
231	0.5240936849
232	0.5227912062
233	0.5222641375
234	0.5218702853
235	0.5213215961
236	0.5209846132
237	0.5203756303
238	0.5199041176
239	0.518963344
240	0.5173562167
241	0.5164438233
242	0.516115091
243	0.5156042372
244	0.515123645
245	0.5148548014
246	0.514278096
247	0.5136442911
248	0.5132021672
249	0.5125028416
250	0.511860966
251	0.5112185857
252	0.5107941717
253	0.5101743716
254	0.5095928811
255	0.5092013592
256	0.5087999127
257	0.5080563105
258	0.5077772328
259	0.5074172774
260	0.5070216121
261	0.5064618691
262	0.5057045223
263	0.5053828911
264	0.5048599215
265	0.5044736308
266	0.5038042518
267	0.5028157646
268	0.5024129458
269	0.5020334741
270	0.5016828234
271	0.5012113244
272	0.5007626455
273	0.5001262034
274	0.4997203381
275	0.4992975225
276	0.4988793449
277	0.4986040648
278	0.4982379727
279	0.4979201855
280	0.4975829556
281	0.4969807706
282	0.4966677942
283	0.4962923244
284	0.4959911827
285	0.4954467547
286	0.4947641478
287	0.4944091278
288	0.4938803012
289	0.4934599256
290	0.4930849099
291	0.4924940597
292	0.4919366789
293	0.4916601813
294	0.4910681257
295	0.4904487261
296	0.490186313
297	0.4897256043
298	0.4892766853
299	0.4888171481
300	0.4883144778
301	0.4879133701
302	0.4873053792
303	0.4867097043
304	0.4864232448
305	0.4859878126
306	0.4853779467
307	0.4849880715
308	0.4846290437
309	0.4840406
310	0.4837639323
311	0.4828575925
312	0.4822345947
313	0.4816981815
314	0.4812040355
315	0.4807038106
316	0.4803675575
317	0.4800711045
318	0.4796792616
319	0.4793443531
320	0.4789759755
321	0.4786393362
322	0.4783693587
323	0.4779766496
324	0.4776087364
325	0.4765507177
326	0.4762889684
327	0.4760437801
328	0.4757893009
329	0.4751224338
330	0.4748344522
331	0.4743935506
332	0.4740814544
333	0.4736573754
334	0.4732249201
335	0.4729275346
336	0.4724552561
337	0.4720943998
338	0.471814665
339	0.4715710293
340	0.471123787
341	0.4708972145
342	0.470658914
343	0.4703172941
344	0.4699513046
345	0.4696839729
346	0.4694922404
347	0.4690359041
348	0.4687822461
349	0.4683458396
350	0.4679340112
351	0.4676423557
352	0.4669929329
353	0.4666037106
354	0.4662793781
355	0.4659829538
356	0.465627729
357	0.4653457418
358	0.4649435699
359	0.4645385157
360	0.4642474096
361	0.4639820295
362	0.4637274535
363	0.4634207576
364	0.4630677872
365	0.462822451
366	0.4621677378
367	0.4616588685
368	0.4611051157
369	0.4606804933
370	0.4602908877
371	0.4599025794
372	0.4594959564
373	0.4592830145
374	0.4589970662
375	0.4584544879
376	0.4582056692
377	0.4579079974
378	0.4575627332
379	0.4573492128
380	0.4568830991
381	0.4565005446
382	0.4560697807
383	0.4558300383
384	0.4555717376
385	0.4553515032
386	0.4551266828
387	0.4548538867
388	0.4544999716
389	0.4542696584
390	0.4540581411
391	0.4538200041
392	0.4533508442
393	0.4531727589
394	0.452959842
395	0.4526443882
396	0.4522276423
397	0.452051048
398	0.4518545145
399	0.4515558836
400	0.4513044692
401	0.4510971091
402	0.450845486
403	0.4506395909
404	0.4501795716
405	0.4497526361
406	0.4494974816
407	0.4491307591
408	0.4488721299
409	0.448640539
410	0.4481529593
411	0.4477909938
412	0.4476007371
413	0.447270006
414	0.4470236579
415	0.4468165566
416	0.4466515302
417	0.4463454224
418	0.4460387764
419	0.445591612
420	0.445194056
421	0.4450157898
422	0.4447475898
423	0.4444558631
424	0.4442500927
425	0.444044873
426	0.4438652058
427	0.4436277274
428	0.4433796425
429	0.4430868095
430	0.4427927418
431	0.4426053972
432	0.4422798373
433	0.4418472236
434	0.4416914131
435	0.4414070192
436	0.4410209021
437	0.4407467011
438	0.4405764597
439	0.4404341847
440	0.4400188815
441	0.4396887119
442	0.4395283944
443	0.439027787
444	0.4387846742
445	0.4384344704
446	0.4382711126
447	0.4380795939
448	0.4378106527
449	0.4373748792
450	0.4372374548
451	0.4368864893
452	0.4367210748
453	0.4364866721
454	0.4363366873
455	0.4361959792
456	0.4358962268
457	0.4356058893
458	0.4353703638
459	0.4351187397
460	0.4347580766
461	0.4345998252
462	0.4344336627
463	0.4342747852
464	0.4340726263
465	0.4338996153
466	0.4336586284
467	0.4335311816
468	0.433379531
469	0.4332084688
470	0.4330178765
471	0.4326421348
472	0.432501564
473	0.432359321
474	0.4321773941
475	0.4319508021
476	0.431691114
477	0.4314154081
478	0.4312626969
479	0.4310392846
480	0.4308802761
481	0.430733683
482	0.430133151
483	0.4296744431
484	0.4295187148
485	0.4292840275
486	0.4291301017
487	0.4289725402
488	0.4287302629
489	0.4284017607
490	0.4282427826
491	0.4280739839
492	0.4278308563
493	0.4275295371
494	0.4274179498
495	0.427217375
496	0.4270672663
497	0.4268507504
498	0.4266130784
499	0.4264415878
500	0.4263275247
501	0.426027679
502	0.4257817359
503	0.4256935285
504	0.42541863
505	0.4252523704
506	0.4251098185
507	0.4249745232
508	0.4246986684
509	0.4245100181
510	0.4243444777
511	0.4241772784
512	0.4239677976
513	0.423864892
514	0.4237024802
515	0.4235242732
516	0.4233836325
517	0.4232246115
518	0.4231164347
519	0.4229382478
520	0.4227783105
521	0.422457795
522	0.4222209529
523	0.4219371849
524	0.4217136602
525	0.4215699193
526	0.4214349212
527	0.4211929448
528	0.4209551932
529	0.420835867
530	0.4205952951
531	0.4204164172
532	0.4201559
533	0.4200087509
534	0.4198576471
535	0.419681949
536	0.4194706406
537	0.4193153366
538	0.4191285265
539	0.4188908912
540	0.4187377004
541	0.4186259201
542	0.4184354392
543	0.4182838191
544	0.4181747929
545	0.4179644593
546	0.4178295222
547	0.4175396844
548	0.4173175015
549	0.4171716294
550	0.4170319715
551	0.4168930578
552	0.4164814637
553	0.4162134503
554	0.4160165164
555	0.4158732761
556	0.415640915
557	0.415375843
558	0.4152558842
559	0.4151231703
560	0.4150110022
561	0.4147408591
562	0.4146308631
563	0.4144522961
564	0.4141299327
565	0.4139948851
566	0.4138861501
567	0.4137780721
568	0.4135539773
569	0.4133823881
570	0.4132149598
571	0.4130478916
572	0.4127610552
573	0.4125515678
574	0.4124174375
575	0.4122947607
576	0.4121280988
577	0.4119952311
578	0.4117583401
579	0.4116494379
580	0.4114923762
581	0.4113983894
582	0.4112780934
583	0.41111885
584	0.4109689347
585	0.4107797928
586	0.410587518
587	0.4103999029
588	0.4102786176
589	0.4101701556
590	0.4100349049
591	0.4098833219
592	0.4097947718
593	0.4096115876
594	0.4094953825
595	0.4093196659
596	0.4091452211
597	0.4090200581
598	0.4088874835
599	0.4087116573
600	0.4086059038
601	0.4084301168
602	0.4082491754
603	0.4081150943
604	0.4079388265
605	0.4078310596
606	0.4076772246
607	0.4075505011
608	0.4073643672
609	0.4072713296
610	0.4071737626
611	0.4070310972
612	0.4068638209
613	0.4066853902
614	0.4065586845
615	0.4064617835
616	0.4062878949
617	0.4061740631
618	0.4060502177
619	0.4059382053
620	0.4058332125
621	0.4056500716
622	0.4055508258
623	0.4054370128
624	0.4053213245
625	0.4051480384
626	0.4049921291
627	0.4048959451
628	0.4047788552
629	0.404682033
630	0.4045491389
631	0.4044404881
632	0.4043551006
633	0.4042233827
634	0.4041182142
635	0.4039764273
636	0.403852801
637	0.4037146672
638	0.4035237373
639	0.4033821855
640	0.4032830366
641	0.4031351048
642	0.4030533002
643	0.4029645508
644	0.4027702119
645	0.4026833484
646	0.4024270739
647	0.4022874906
648	0.4021454231
649	0.4020453607
650	0.40189642
651	0.4017751177
652	0.4016468808
653	0.4015539194
654	0.4014575843
655	0.401337187
656	0.4011991521
657	0.4009862988
658	0.400869296
659	0.4006921328
660	0.4004952807
661	0.4003549691
662	0.4002876624
663	0.4001630829
664	0.4000668665
665	0.3999523648
666	0.3998206729
667	0.3996637649
668	0.3995279182
669	0.3993769696
670	0.3992610598
671	0.3991277388
672	0.3990031225
673	0.3988686673
674	0.3987822514
675	0.3986610141
676	0.3985454279
677	0.3983778861
678	0.3982418347
679	0.3980717946
680	0.3979656713
681	0.3978475361
682	0.3977691069
683	0.3975808023
684	0.3973963139
685	0.3972988487
686	0.3971238171
687	0.3970228121
688	0.3969183826
689	0.3968262437
690	0.3967502618
691	0.3966573876
692	0.3965777917
693	0.3964324
694	0.3963160326
695	0.3962247214
696	0.3960900946
697	0.3959730884
698	0.3958955944
699	0.3958225051
700	0.395681948
701	0.3955971265
702	0.3954821962
703	0.3953758293
704	0.3952904133
705	0.3952081581
706	0.3951315988
707	0.3949966697
708	0.3949027348
709	0.3947735973
710	0.3946796717
711	0.3946018966
712	0.3945304163
713	0.3944248139
714	0.3943600393
715	0.394202186
716	0.3941212829
717	0.3939714991
718	0.3938756024
719	0.393800625
720	0.3937076441
721	0.3936373724
722	0.3935629519
723	0.3934585716
724	0.3933741464
725	0.393300728
726	0.393185239
727	0.3931189732
728	0.393044641
729	0.3929526823
730	0.3928812857
731	0.3927296234
732	0.392631597
733	0.3925519941
734	0.3924805828
735	0.3923907901
736	0.3923197223
737	0.3921983836
738	0.3919446986
739	0.3918431231
740	0.3917278717
741	0.3916645941
742	0.3915642951
743	0.3914347385
744	0.3912100321
745	0.3911355101
746	0.3909112534
747	0.39069982
748	0.390610702
749	0.3905337403
750	0.3904339606
751	0.390300198
752	0.3902013105
753	0.3901078647
754	0.3900325849
755	0.3899523547
756	0.3898889798
757	0.3897951731
758	0.3896772134
759	0.3895867852
760	0.3894783589
761	0.3893377342
762	0.3892405424
763	0.3890975871
764	0.3889513101
765	0.3888637285
766	0.3887473
767	0.3886033983
768	0.3885305875
769	0.3884438199
770	0.388331033
771	0.3882263916
772	0.3881349428
773	0.3880727656
774	0.3879962347
775	0.387921298
776	0.3878619047
777	0.3877939985
778	0.3877273327
779	0.3876182135
780	0.3875483074
781	0.3874627608
782	0.3873836486
783	0.387321736
784	0.3872593337
785	0.3871803459
786	0.3870810528
787	0.3869854754
788	0.3868904497
789	0.3868081103
790	0.3867408668
791	0.3866687813
792	0.3866002432
793	0.3865024468
794	0.3864320302
795	0.3863299803
796	0.3862082912
797	0.3861315363
798	0.3860354974
799	0.3858924019
800	0.3858325075
801	0.3857495861
802	0.3856816127
803	0.3855832523
804	0.3855018861
805	0.385433509
806	0.3853417729
807	0.3851823326
808	0.3849971369
809	0.3848913257
810	0.3847906532
811	0.3847295304
812	0.3846535259
813	0.3845608654
814	0.3844870455
815	0.384426907
816	0.3842845765
817	0.3842101813
818	0.3841200724
819	0.3840028504
820	0.3839075504
821	0.3838492862
822	0.3837953884
823	0.3837257497
824	0.3836496973
825	0.383574002
826	0.3835021393
827	0.3834291044
828	0.383361767
829	0.3831841737
830	0.3831024798
831	0.3829990816
832	0.3829335195
833	0.3828284756
834	0.3827494676
835	0.3826576899
836	0.3825970478
837	0.3825166217
838	0.3823097924
839	0.3821905636
840	0.3821098432
841	0.3819710866
842	0.3818446574
843	0.3817315785
844	0.3816151746
845	0.381437667
846	0.3813596777
847	0.3812523622
848	0.3811947057
849	0.3811481729
850	0.3810834198
851	0.3810177264
852	0.3809171097
853	0.3807936674
854	0.3806593225
855	0.3805983168
856	0.3805358495
857	0.3804681112
858	0.3803759835
859	0.3803303078
860	0.3802616334
861	0.3802037691
862	0.3801431637
863	0.3800387492
864	0.3799512869
865	0.3798758992
866	0.3797385041
867	0.3796565738
868	0.3795925491
869	0.3795191864
870	0.3794441107
871	0.3793580124
872	0.3792850214
873	0.37923136
874	0.3791416105
875	0.3790752684
876	0.3790085764
877	0.3789431486
878	0.3788908719
879	0.378777303
880	0.3786992481
881	0.3786365113
882	0.3784855897
883	0.3783130783
884	0.3782487536
885	0.3782038196
886	0.378131557
887	0.3780599238
888	0.3779346824
889	0.3778709807
890	0.3777896454
891	0.3776773063
892	0.3776118019
893	0.3775392407
894	0.3774531119
895	0.3773684194
896	0.3773125001
897	0.3771665051
898	0.3771101587
899	0.3770526693
